admin2,admin3,admin4,partner,province,municipality,barangay,male_young,male_child,male_adult,male_senior,female_young,female_child,female_adult,female_senior,hh_males,hh_females,hh_total,confirm,vulnerabilities/single_headed,vulnerabilities/single_headed_sex,vulnerabilities/pregnant_lactating,vulnerabilities/disabled_ill_male,vulnerabilities/disabled_ill_female
PH083700000,PH083746000,PH083746006,IFRC,Leyte,Tabontabon,Capahuan,0,0,1,0,0,0,1,0,1,1,2,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746006,IFRC,Leyte,Tabontabon,Capahuan,0,0,0,0,2,1,1,0,0,4,4,OK,yes,female,0,0,0
PH083700000,PH083746000,PH083746006,IFRC,Leyte,Tabontabon,Capahuan,0,0,1,0,0,0,0,0,1,0,1,OK,yes,male,0,0,0
PH083700000,PH083746000,PH083746006,IFRC,Leyte,Tabontabon,Capahuan,1,0,1,0,1,0,1,0,2,2,4,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746006,IFRC,Leyte,Tabontabon,Capahuan,0,0,2,1,0,0,0,1,3,1,4,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746006,IFRC,Leyte,Tabontabon,Capahuan,0,1,1,0,0,0,4,0,2,4,6,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746006,IFRC,Leyte,Tabontabon,Capahuan,2,0,1,0,0,0,1,0,3,1,4,OK,no,n/a,1,1,0
PH083700000,PH083746000,PH083746006,IFRC,Leyte,Tabontabon,Capahuan,1,1,3,0,0,1,1,0,5,2,7,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746006,IFRC,Leyte,Tabontabon,Capahuan,1,0,1,0,1,1,0,0,2,2,4,OK,no,n/a,1,0,0
PH083700000,PH083746000,PH083746006,IFRC,Leyte,Tabontabon,Capahuan,0,0,1,0,0,0,2,0,1,2,3,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746006,IFRC,Leyte,Tabontabon,Capahuan,0,1,1,0,0,0,0,1,2,1,3,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746006,IFRC,Leyte,Tabontabon,Capahuan,0,0,1,0,0,0,0,0,1,0,1,OK,yes,male,0,0,0
PH083700000,PH083746000,PH083746006,IFRC,Leyte,Tabontabon,Capahuan,2,1,1,0,1,4,1,0,4,6,10,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746006,IFRC,Leyte,Tabontabon,Capahuan,0,0,1,0,0,0,0,0,1,0,1,OK,yes,male,0,0,0
PH083700000,PH083746000,PH083746006,IFRC,Leyte,Tabontabon,Capahuan,0,0,1,0,2,1,1,0,1,4,5,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746006,IFRC,Leyte,Tabontabon,Capahuan,2,1,1,0,0,0,1,0,4,1,5,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746006,IFRC,Leyte,Tabontabon,Capahuan,0,1,2,0,0,0,1,0,3,1,4,OK,yes,female,0,0,0
PH083700000,PH083746000,PH083746006,IFRC,Leyte,Tabontabon,Capahuan,0,0,0,1,0,0,0,1,1,1,2,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746006,IFRC,Leyte,Tabontabon,Capahuan,1,3,1,0,0,0,1,0,5,1,6,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746006,IFRC,Leyte,Tabontabon,Capahuan,0,0,1,0,0,0,0,1,1,1,2,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746006,IFRC,Leyte,Tabontabon,Capahuan,0,0,0,1,0,0,0,0,1,0,1,OK,yes,male,0,0,0
PH083700000,PH083746000,PH083746006,IFRC,Leyte,Tabontabon,Capahuan,0,1,3,0,0,3,1,0,4,4,8,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746006,IFRC,Leyte,Tabontabon,Capahuan,0,3,1,0,0,1,1,0,4,2,6,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746006,IFRC,Leyte,Tabontabon,Capahuan,0,1,1,0,0,1,1,0,2,2,4,OK,no,n/a,1,0,0
PH083700000,PH083746000,PH083746006,IFRC,Leyte,Tabontabon,Capahuan,0,0,1,0,0,0,1,0,1,1,2,OK,no,n/a,1,0,0
PH083700000,PH083746000,PH083746006,IFRC,Leyte,Tabontabon,Capahuan,0,0,0,1,0,0,0,1,1,1,2,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746006,IFRC,Leyte,Tabontabon,Capahuan,1,2,1,0,0,0,1,0,4,1,5,OK,no,n/a,0,0,1
PH083700000,PH083746000,PH083746006,IFRC,Leyte,Tabontabon,Capahuan,2,0,1,0,0,0,1,0,3,1,4,OK,no,n/a,1,0,0
PH083700000,PH083746000,PH083746006,IFRC,Leyte,Tabontabon,Capahuan,0,0,4,0,0,0,0,0,4,0,4,OK,no,n/a,0,1,0
PH083700000,PH083746000,PH083746006,IFRC,Leyte,Tabontabon,Capahuan,0,0,1,0,0,2,0,1,1,3,4,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746006,IFRC,Leyte,Tabontabon,Capahuan,0,0,0,1,0,0,0,0,1,0,1,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746006,IFRC,Leyte,Tabontabon,Capahuan,0,1,1,0,0,1,0,0,2,1,3,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746006,IFRC,Leyte,Tabontabon,Capahuan,0,0,0,0,0,0,0,1,0,1,1,OK,yes,female,0,0,0
PH083700000,PH083746000,PH083746006,IFRC,Leyte,Tabontabon,Capahuan,0,2,1,0,0,2,1,0,3,3,6,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746006,IFRC,Leyte,Tabontabon,Capahuan,0,0,0,0,0,0,0,1,0,1,1,OK,yes,female,0,0,1
PH083700000,PH083746000,PH083746006,IFRC,Leyte,Tabontabon,Capahuan,0,0,1,0,0,0,1,0,1,1,2,OK,yes,female,0,0,0
PH083700000,PH083746000,PH083746006,IFRC,Leyte,Tabontabon,Capahuan,0,0,2,0,0,3,2,0,2,5,7,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746006,IFRC,Leyte,Tabontabon,Capahuan,0,0,1,0,0,0,1,1,1,2,3,OK,yes,female,0,0,0
PH083700000,PH083746000,PH083746006,IFRC,Leyte,Tabontabon,Capahuan,2,3,1,0,0,0,1,0,6,1,7,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746006,IFRC,Leyte,Tabontabon,Capahuan,0,0,2,1,0,0,0,1,3,1,4,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746006,IFRC,Leyte,Tabontabon,Capahuan,0,0,1,0,1,0,1,0,1,2,3,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746006,IFRC,Leyte,Tabontabon,Capahuan,0,0,1,1,2,0,1,0,2,3,5,OK,yes,male,0,0,0
PH083700000,PH083746000,PH083746006,IFRC,Leyte,Tabontabon,Capahuan,0,2,2,0,0,0,1,0,4,1,5,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746006,IFRC,Leyte,Tabontabon,Capahuan,0,2,1,0,1,0,1,0,3,2,5,OK,no,n/a,0,1,0
PH083700000,PH083746000,PH083746006,IFRC,Leyte,Tabontabon,Capahuan,1,0,2,0,1,0,1,0,3,2,5,OK,no,n/a,1,1,0
PH083700000,PH083746000,PH083746006,IFRC,Leyte,Tabontabon,Capahuan,0,0,1,1,0,0,0,1,2,1,3,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746006,IFRC,Leyte,Tabontabon,Capahuan,2,1,1,0,0,0,1,0,4,1,5,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746006,IFRC,Leyte,Tabontabon,Capahuan,1,0,1,0,1,0,1,0,2,2,4,OK,no,n/a,1,0,0
PH083700000,PH083746000,PH083746006,IFRC,Leyte,Tabontabon,Capahuan,0,1,3,8,2,1,1,0,12,4,16,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746006,IFRC,Leyte,Tabontabon,Capahuan,0,1,2,0,0,0,3,0,3,3,6,OK,yes,female,0,0,0
PH083700000,PH083746000,PH083746006,IFRC,Leyte,Tabontabon,Capahuan,0,0,1,0,0,3,1,0,1,4,5,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746006,IFRC,Leyte,Tabontabon,Capahuan,0,1,2,0,0,0,1,0,3,1,4,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746006,IFRC,Leyte,Tabontabon,Capahuan,2,1,1,0,1,0,1,0,4,2,6,OK,no,n/a,1,0,0
PH083700000,PH083746000,PH083746006,IFRC,Leyte,Tabontabon,Capahuan,1,0,1,0,1,0,1,0,2,2,4,OK,no,n/a,1,0,0
PH083700000,PH083746000,PH083746006,IFRC,Leyte,Tabontabon,Capahuan,0,0,1,1,0,0,0,0,2,0,2,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746006,IFRC,Leyte,Tabontabon,Capahuan,1,0,1,0,1,0,1,0,2,2,4,OK,no,n/a,1,0,0
PH083700000,PH083746000,PH083746006,IFRC,Leyte,Tabontabon,Capahuan,2,1,1,0,2,0,1,0,4,3,7,OK,no,n/a,1,0,0
PH083700000,PH083746000,PH083746006,IFRC,Leyte,Tabontabon,Capahuan,0,0,0,0,0,0,0,0,0,0,0,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746006,IFRC,Leyte,Tabontabon,Capahuan,0,0,0,1,0,0,0,1,1,1,2,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746006,IFRC,Leyte,Tabontabon,Capahuan,0,0,1,0,0,0,1,0,1,1,2,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746006,IFRC,Leyte,Tabontabon,Capahuan,0,0,3,0,0,0,1,0,3,1,4,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746006,IFRC,Leyte,Tabontabon,Capahuan,1,1,1,0,1,2,1,0,3,4,7,OK,no,n/a,1,0,0
PH083700000,PH083746000,PH083746006,IFRC,Leyte,Tabontabon,Capahuan,0,0,3,1,0,0,0,1,4,1,5,OK,no,n/a,0,1,0
PH083700000,PH083746000,PH083746006,IFRC,Leyte,Tabontabon,Capahuan,1,0,1,0,0,0,1,1,2,2,4,OK,no,n/a,1,0,0
PH083700000,PH083746000,PH083746006,IFRC,Leyte,Tabontabon,Capahuan,0,0,1,0,1,0,1,0,1,2,3,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746006,IFRC,Leyte,Tabontabon,Capahuan,0,0,0,1,0,0,0,0,1,0,1,OK,yes,male,0,0,0
PH083700000,PH083746000,PH083746006,IFRC,Leyte,Tabontabon,Capahuan,0,0,1,0,2,0,1,0,1,3,4,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746006,IFRC,Leyte,Tabontabon,Capahuan,1,2,1,0,2,2,1,0,4,5,9,OK,no,n/a,1,0,0
PH083700000,PH083746000,PH083746006,IFRC,Leyte,Tabontabon,Capahuan,1,1,1,0,2,0,1,0,3,3,6,OK,no,n/a,1,0,1
PH083700000,PH083746000,PH083746006,IFRC,Leyte,Tabontabon,Capahuan,1,1,1,0,0,1,1,0,3,2,5,OK,no,n/a,1,0,0
PH083700000,PH083746000,PH083746006,IFRC,Leyte,Tabontabon,Capahuan,0,1,2,0,0,3,1,0,3,4,7,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746013,IFRC,Leyte,Tabontabon,District I Poblacion,1,0,2,0,0,0,2,0,3,2,5,OK,no,n/a,0,0,1
PH083700000,PH083746000,PH083746013,IFRC,Leyte,Tabontabon,District I Poblacion,0,0,1,0,0,0,0,1,1,1,2,OK,yes,female,0,0,0
PH083700000,PH083746000,PH083746013,IFRC,Leyte,Tabontabon,District I Poblacion,0,0,1,0,0,0,1,0,1,1,2,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746013,IFRC,Leyte,Tabontabon,District I Poblacion,0,1,2,0,0,1,0,1,3,2,5,OK,yes,female,0,0,0
PH083700000,PH083746000,PH083746013,IFRC,Leyte,Tabontabon,District I Poblacion,0,0,2,0,0,0,0,1,2,1,3,OK,yes,female,0,0,0
PH083700000,PH083746000,PH083746013,IFRC,Leyte,Tabontabon,District I Poblacion,0,2,3,0,0,0,2,0,5,2,7,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746013,IFRC,Leyte,Tabontabon,District I Poblacion,0,2,1,1,1,1,1,0,4,3,7,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746013,IFRC,Leyte,Tabontabon,District I Poblacion,0,0,2,0,1,0,1,0,2,2,4,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746013,IFRC,Leyte,Tabontabon,District I Poblacion,0,0,0,0,0,0,0,1,0,1,1,OK,yes,female,0,0,0
PH083700000,PH083746000,PH083746013,IFRC,Leyte,Tabontabon,District I Poblacion,0,0,1,0,0,0,1,1,1,2,3,OK,yes,female,0,0,0
PH083700000,PH083746000,PH083746013,IFRC,Leyte,Tabontabon,District I Poblacion,0,0,1,1,0,0,1,0,2,1,3,OK,yes,male,0,0,1
PH083700000,PH083746000,PH083746013,IFRC,Leyte,Tabontabon,District I Poblacion,0,0,1,1,0,0,0,0,2,0,2,OK,yes,male,0,0,0
PH083700000,PH083746000,PH083746013,IFRC,Leyte,Tabontabon,District I Poblacion,0,4,1,0,0,0,1,0,5,1,6,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746013,IFRC,Leyte,Tabontabon,District I Poblacion,0,0,1,0,0,1,1,0,1,2,3,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746013,IFRC,Leyte,Tabontabon,District I Poblacion,0,0,0,1,0,0,0,1,1,1,2,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746013,IFRC,Leyte,Tabontabon,District I Poblacion,0,2,0,0,1,0,0,1,2,2,4,OK,yes,female,0,0,1
PH083700000,PH083746000,PH083746013,IFRC,Leyte,Tabontabon,District I Poblacion,0,1,0,1,0,1,0,1,2,2,4,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746013,IFRC,Leyte,Tabontabon,District I Poblacion,1,0,1,1,0,1,1,0,3,2,5,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746013,IFRC,Leyte,Tabontabon,District I Poblacion,1,0,1,0,1,0,1,0,2,2,4,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746013,IFRC,Leyte,Tabontabon,District I Poblacion,1,2,3,0,0,2,1,0,6,3,9,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746013,IFRC,Leyte,Tabontabon,District I Poblacion,0,0,2,1,0,0,1,1,3,2,5,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746013,IFRC,Leyte,Tabontabon,District I Poblacion,0,0,1,0,1,0,1,0,1,2,3,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746013,IFRC,Leyte,Tabontabon,District I Poblacion,0,0,0,1,0,0,0,0,1,0,1,OK,yes,male,0,0,0
PH083700000,PH083746000,PH083746013,IFRC,Leyte,Tabontabon,District I Poblacion,0,0,1,0,0,2,0,0,1,2,3,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746013,IFRC,Leyte,Tabontabon,District I Poblacion,0,0,0,0,0,0,0,1,0,1,1,OK,yes,female,0,0,0
PH083700000,PH083746000,PH083746013,IFRC,Leyte,Tabontabon,District I Poblacion,0,0,1,0,0,2,1,0,1,3,4,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746013,IFRC,Leyte,Tabontabon,District I Poblacion,0,0,1,0,1,0,1,0,1,2,3,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746013,IFRC,Leyte,Tabontabon,District I Poblacion,0,3,1,0,0,1,3,0,4,4,8,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746013,IFRC,Leyte,Tabontabon,District I Poblacion,0,0,0,1,0,0,0,1,1,1,2,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746013,IFRC,Leyte,Tabontabon,District I Poblacion,0,1,4,0,0,2,3,0,5,5,10,OK,no,n/a,1,0,0
PH083700000,PH083746000,PH083746013,IFRC,Leyte,Tabontabon,District I Poblacion,0,0,0,0,0,0,0,1,0,1,1,OK,yes,female,0,0,0
PH083700000,PH083746000,PH083746013,IFRC,Leyte,Tabontabon,District I Poblacion,1,0,2,0,1,0,1,0,3,2,5,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746013,IFRC,Leyte,Tabontabon,District I Poblacion,0,3,1,0,0,0,1,0,4,1,5,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746013,IFRC,Leyte,Tabontabon,District I Poblacion,0,2,1,1,0,1,1,0,4,2,6,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746013,IFRC,Leyte,Tabontabon,District I Poblacion,0,0,1,1,1,0,1,1,2,3,5,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746013,IFRC,Leyte,Tabontabon,District I Poblacion,2,0,1,0,0,0,1,0,3,1,4,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746013,IFRC,Leyte,Tabontabon,District I Poblacion,0,1,0,0,0,1,2,0,1,3,4,OK,yes,female,0,0,0
PH083700000,PH083746000,PH083746013,IFRC,Leyte,Tabontabon,District I Poblacion,0,0,1,1,0,0,0,0,2,0,2,OK,yes,male,0,0,0
PH083700000,PH083746000,PH083746013,IFRC,Leyte,Tabontabon,District I Poblacion,0,1,1,0,0,1,1,0,2,2,4,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746013,IFRC,Leyte,Tabontabon,District I Poblacion,0,0,0,1,0,0,0,1,1,1,2,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746013,IFRC,Leyte,Tabontabon,District I Poblacion,1,1,1,0,1,0,1,0,3,2,5,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746013,IFRC,Leyte,Tabontabon,District I Poblacion,1,0,1,0,0,0,2,0,2,2,4,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746013,IFRC,Leyte,Tabontabon,District I Poblacion,0,1,1,0,0,3,1,0,2,4,6,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746013,IFRC,Leyte,Tabontabon,District I Poblacion,0,2,1,0,1,0,1,0,3,2,5,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746013,IFRC,Leyte,Tabontabon,District I Poblacion,0,0,0,1,0,0,0,0,1,0,1,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746013,IFRC,Leyte,Tabontabon,District I Poblacion,0,0,0,0,0,0,1,0,0,1,1,OK,yes,female,0,0,0
PH083700000,PH083746000,PH083746013,IFRC,Leyte,Tabontabon,District I Poblacion,0,0,1,1,0,2,0,0,2,2,4,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746013,IFRC,Leyte,Tabontabon,District I Poblacion,0,1,0,0,2,0,1,0,1,3,4,OK,yes,female,0,0,0
PH083700000,PH083746000,PH083746013,IFRC,Leyte,Tabontabon,District I Poblacion,1,1,1,0,0,2,1,0,3,3,6,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746013,IFRC,Leyte,Tabontabon,District I Poblacion,0,0,1,0,0,0,1,0,1,1,2,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746013,IFRC,Leyte,Tabontabon,District I Poblacion,0,0,1,0,0,0,0,0,1,0,1,OK,yes,male,0,1,0
PH083700000,PH083746000,PH083746013,IFRC,Leyte,Tabontabon,District I Poblacion,0,1,1,0,0,0,0,0,2,0,2,OK,yes,male,0,0,0
PH083700000,PH083746000,PH083746013,IFRC,Leyte,Tabontabon,District I Poblacion,0,0,1,0,0,0,0,0,1,0,1,OK,yes,male,0,0,0
PH083700000,PH083746000,PH083746013,IFRC,Leyte,Tabontabon,District I Poblacion,0,0,1,1,0,0,0,1,2,1,3,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746013,IFRC,Leyte,Tabontabon,District I Poblacion,0,0,1,0,2,0,2,0,1,4,5,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746013,IFRC,Leyte,Tabontabon,District I Poblacion,2,0,1,0,0,0,1,0,3,1,4,OK,no,n/a,1,0,0
PH083700000,PH083746000,PH083746013,IFRC,Leyte,Tabontabon,District I Poblacion,3,1,1,0,0,0,1,0,5,1,6,OK,no,n/a,1,0,0
PH083700000,PH083746000,PH083746013,IFRC,Leyte,Tabontabon,District I Poblacion,1,0,1,0,0,1,1,0,2,2,4,OK,no,n/a,1,0,0
PH083700000,PH083746000,PH083746013,IFRC,Leyte,Tabontabon,District I Poblacion,0,0,1,0,0,1,2,0,1,3,4,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746013,IFRC,Leyte,Tabontabon,District I Poblacion,1,1,1,0,0,3,1,0,3,4,7,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746014,IFRC,Leyte,Tabontabon,District II Poblacion,1,3,1,0,1,0,1,0,5,2,7,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746014,IFRC,Leyte,Tabontabon,District II Poblacion,1,0,1,0,1,0,1,0,2,2,4,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746014,IFRC,Leyte,Tabontabon,District II Poblacion,1,0,2,0,0,2,1,0,3,3,6,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746014,IFRC,Leyte,Tabontabon,District II Poblacion,0,0,4,0,0,0,2,0,4,2,6,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746014,IFRC,Leyte,Tabontabon,District II Poblacion,1,0,1,0,0,0,1,0,2,1,3,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746014,IFRC,Leyte,Tabontabon,District II Poblacion,0,1,1,0,0,0,1,0,2,1,3,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746014,IFRC,Leyte,Tabontabon,District II Poblacion,0,0,1,0,0,3,1,0,1,4,5,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746014,IFRC,Leyte,Tabontabon,District II Poblacion,0,0,0,1,0,0,0,0,1,0,1,OK,yes,male,0,0,0
PH083700000,PH083746000,PH083746014,IFRC,Leyte,Tabontabon,District II Poblacion,0,1,2,0,0,1,1,0,3,2,5,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746014,IFRC,Leyte,Tabontabon,District II Poblacion,1,1,1,0,1,0,1,0,3,2,5,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746014,IFRC,Leyte,Tabontabon,District II Poblacion,0,0,1,0,2,0,1,0,1,3,4,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746014,IFRC,Leyte,Tabontabon,District II Poblacion,1,0,1,0,1,0,1,0,2,2,4,OK,no,n/a,1,0,0
PH083700000,PH083746000,PH083746014,IFRC,Leyte,Tabontabon,District II Poblacion,0,0,1,1,0,0,0,1,2,1,3,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746014,IFRC,Leyte,Tabontabon,District II Poblacion,0,0,1,0,0,0,1,0,1,1,2,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746014,IFRC,Leyte,Tabontabon,District II Poblacion,0,2,1,0,0,3,1,0,3,4,7,OK,no,n/a,1,0,0
PH083700000,PH083746000,PH083746014,IFRC,Leyte,Tabontabon,District II Poblacion,0,0,1,1,0,0,0,0,2,0,2,OK,yes,male,0,0,0
PH083700000,PH083746000,PH083746014,IFRC,Leyte,Tabontabon,District II Poblacion,0,1,0,1,0,0,1,0,2,1,3,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746014,IFRC,Leyte,Tabontabon,District II Poblacion,1,1,1,0,0,2,1,0,3,3,6,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746014,IFRC,Leyte,Tabontabon,District II Poblacion,0,0,0,0,0,0,1,0,0,1,1,OK,yes,female,0,0,0
PH083700000,PH083746000,PH083746014,IFRC,Leyte,Tabontabon,District II Poblacion,0,1,1,0,0,1,2,0,2,3,5,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746014,IFRC,Leyte,Tabontabon,District II Poblacion,1,0,1,0,0,0,1,0,2,1,3,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746014,IFRC,Leyte,Tabontabon,District II Poblacion,0,0,2,0,0,0,2,0,2,2,4,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746014,IFRC,Leyte,Tabontabon,District II Poblacion,0,0,1,0,1,1,1,1,1,4,5,OK,no,n/a,0,0,1
PH083700000,PH083746000,PH083746014,IFRC,Leyte,Tabontabon,District II Poblacion,2,0,1,0,0,1,1,0,3,2,5,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746014,IFRC,Leyte,Tabontabon,District II Poblacion,2,1,1,0,0,0,1,0,4,1,5,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746014,IFRC,Leyte,Tabontabon,District II Poblacion,0,0,1,1,0,0,0,0,2,0,2,OK,yes,male,0,0,0
PH083700000,PH083746000,PH083746014,IFRC,Leyte,Tabontabon,District II Poblacion,0,3,0,0,0,0,1,0,3,1,4,OK,yes,female,0,0,0
PH083700000,PH083746000,PH083746014,IFRC,Leyte,Tabontabon,District II Poblacion,0,0,1,0,0,0,1,0,1,1,2,OK,no,n/a,1,0,0
PH083700000,PH083746000,PH083746014,IFRC,Leyte,Tabontabon,District II Poblacion,0,0,2,0,0,1,1,0,2,2,4,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746014,IFRC,Leyte,Tabontabon,District II Poblacion,1,0,0,0,0,0,1,1,1,2,3,OK,yes,female,0,0,0
PH083700000,PH083746000,PH083746014,IFRC,Leyte,Tabontabon,District II Poblacion,0,0,1,1,0,0,1,0,2,1,3,OK,yes,male,0,0,0
PH083700000,PH083746000,PH083746016,IFRC,Leyte,Tabontabon,District IV Poblacion,0,0,0,0,0,0,0,1,0,1,1,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746016,IFRC,Leyte,Tabontabon,District IV Poblacion,1,0,1,0,0,1,1,0,2,2,4,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746016,IFRC,Leyte,Tabontabon,District IV Poblacion,1,0,1,0,1,0,0,0,2,1,3,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746016,IFRC,Leyte,Tabontabon,District IV Poblacion,1,0,0,2,0,0,0,0,3,0,3,OK,no,n/a,1,0,0
PH083700000,PH083746000,PH083746016,IFRC,Leyte,Tabontabon,District IV Poblacion,0,1,1,0,0,2,1,0,2,3,5,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746016,IFRC,Leyte,Tabontabon,District IV Poblacion,2,0,1,0,0,0,1,0,3,1,4,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746016,IFRC,Leyte,Tabontabon,District IV Poblacion,0,0,1,0,2,1,1,0,1,4,5,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746016,IFRC,Leyte,Tabontabon,District IV Poblacion,0,2,1,0,0,2,2,0,3,4,7,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746016,IFRC,Leyte,Tabontabon,District IV Poblacion,1,0,1,0,0,0,1,0,2,1,3,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746016,IFRC,Leyte,Tabontabon,District IV Poblacion,0,2,2,0,0,2,1,0,4,3,7,OK,no,n/a,0,0,0
PH083700000,PH083746000,PH083746016,IFRC,Leyte,Tabontabon,District IV Poblacion,0,1,1,1,0,0,0,1,3,1,4,OK,yes,female,0,0,0
PH083700000,PH083746000,PH083746016,IFRC,Leyte,Tabontabon,District IV Poblacion,0,1,0,0,0,0,2,0,1,2,3,OK,yes,female,0,0,0
PH083700000,PH083746000,PH083746016,IFRC,Leyte,Tabontabon,District IV Poblacion,0,0,1,0,1,1,1,0,1,3,4,OK,no,n/a,0,0,0
